date,code,name,score_ml,total_score,max_score,market_state,track
2023-06-09,600667,,14,53,115,strong,0
2023-06-12,002980,,14,54,115,strong,0
2023-06-14,688031,,14,62,115,strong,0
2023-06-15,300057,,14,62,115,strong,0
2023-06-15,300747,,14,68,115,strong,0
2023-06-16,002290,,14,64,115,strong,0
2023-06-19,603087,,14,61,115,strong,0
2023-06-29,300516,,14,73,115,strong,0
2023-06-29,600764,,14,68,115,strong,0
2023-06-29,301311,,10,71,115,strong,0
2023-06-29,300566,,14,76,115,strong,0
2023-06-30,002975,,13,78,115,strong,0
2023-06-30,603800,,14,78,115,strong,0
2023-06-30,603773,,14,82,115,strong,0
2023-07-03,603045,,14,67,115,strong,0
2023-07-04,002859,,14,70,115,strong,0
2023-07-04,301133,,14,88,115,strong,0
2023-07-06,688519,,11,91,115,choppy,0
2023-07-06,002429,,14,64,115,choppy,0
2023-07-11,300184,,10,69,115,strong,0
2023-07-17,688786,,13,66,115,strong,0
2023-07-19,300159,,14,64,115,choppy,0
2023-07-21,002717,,10,71,115,strong,0
2023-07-26,002713,,14,61,115,strong,0
2023-07-26,301227,,10,83,115,strong,0
2023-07-26,002575,,13,79,115,strong,0
2023-07-31,600598,,10,67,115,strong,0
2023-07-31,601952,,13,61,115,strong,0
2023-07-31,002041,,14,65,115,strong,0
2023-07-31,002385,,14,60,115,strong,0
2023-08-03,002608,,14,59,115,strong,0
2023-08-04,300419,,13,76,115,strong,0
2023-08-04,688229,,15,67,115,strong,0
2023-08-08,000713,,14,61,115,strong,0
2023-08-10,600119,,14,68,115,strong,0
2023-08-11,000007,,14,65,115,choppy,0
2023-08-17,688229,,15,58,115,choppy,0
2023-08-17,002634,,14,77,115,choppy,0
2023-08-25,600008,,13,62,115,choppy,0
2023-08-29,600082,,14,65,115,strong,0
2023-08-29,600285,,13,55,115,strong,0
2023-08-29,300119,,14,79,115,strong,0
2023-08-29,001979,,14,69,115,strong,0
2023-08-29,300197,,14,80,115,strong,0
2023-08-30,002432,,11,76,115,choppy,0
2023-08-31,300959,,12,76,115,choppy,0
2023-09-01,000711,,14,60,115,strong,0
2023-09-01,688767,,14,80,115,strong,0
2023-09-01,600309,,13,80,115,strong,0
2023-09-01,000651,,14,76,115,strong,0
2023-09-04,000698,,14,76,115,strong,0
2023-09-04,600800,,13,75,115,strong,0
2023-09-06,300285,,14,66,115,strong,0
2023-09-21,300184,,14,62,115,choppy,0
2023-09-22,605589,,12,61,115,choppy,0
2023-09-22,600498,,14,78,115,choppy,0
2023-09-28,688028,,14,69,115,strong,0
2023-09-28,603890,,11,63,115,strong,0
2023-09-28,601137,,14,77,115,strong,0
2023-10-09,301128,,13,88,115,strong,0
2023-10-09,300184,,14,63,115,strong,0
2023-10-10,600699,,13,76,115,strong,0
2023-10-11,688288,,14,66,115,strong,0
2023-10-12,002429,,14,75,115,strong,0
2023-10-12,000908,,14,66,115,strong,0
2023-10-12,000700,,13,69,115,strong,0
2023-10-13,688767,,14,67,115,strong,0
2023-10-26,000700,,14,63,115,choppy,0
2023-10-27,600879,,14,79,115,choppy,0
2023-10-27,002436,,13,82,115,choppy,0
2023-10-27,002294,,14,70,115,choppy,0
2023-10-27,300563,,13,58,115,choppy,0
2023-10-27,300303,,14,60,115,choppy,0
2023-10-27,000921,,14,54,115,choppy,0
2023-10-27,600699,,14,65,115,choppy,0
2023-10-30,300147,,14,74,115,choppy,0
2023-10-30,603087,,11,82,115,choppy,0
2023-10-30,600420,,14,73,115,choppy,0
2023-10-30,600566,,13,72,115,choppy,0
2023-10-30,600535,,14,72,115,choppy,0
2023-10-30,601137,,14,79,115,choppy,0
2023-10-30,603559,,14,66,115,choppy,0
2023-10-30,688288,,14,79,115,choppy,0
2023-10-31,301308,,14,81,115,choppy,0
2023-10-31,000908,,13,60,115,choppy,0
2023-11-03,300563,,14,67,115,strong,0
2023-11-03,002465,,10,65,115,strong,0
2023-11-03,300975,,10,57,115,strong,0
2023-11-06,000050,,14,65,115,strong,0
2023-11-06,688496,,14,75,115,strong,0
2023-11-06,688079,,14,64,115,strong,0
2023-11-06,002957,,14,77,115,strong,0
2023-11-07,301013,,10,69,115,strong,0
2023-11-07,688685,,14,66,115,strong,0
2023-11-08,000700,,14,67,115,strong,0
2023-11-09,000004,,13,87,115,strong,0
2023-11-10,301042,,10,68,115,strong,0
2023-11-10,301139,,10,64,115,strong,0
2023-11-20,300006,,14,60,115,strong,0
2023-11-29,301013,,14,76,115,choppy,0
2023-12-01,600228,,14,70,115,choppy,0
2023-12-01,002571,,13,58,115,choppy,0
2023-12-01,600936,,14,63,115,choppy,0
2023-12-01,002173,,11,60,115,choppy,0
2023-12-04,300959,,13,74,115,choppy,0
2023-12-04,000620,,14,65,115,choppy,0
2023-12-04,601811,,14,63,115,choppy,0
2023-12-06,002458,,13,67,115,choppy,0
2023-12-06,601811,,14,61,115,choppy,0
2023-12-07,300654,,13,69,115,choppy,0
2023-12-07,300081,,13,75,115,choppy,0
2023-12-07,600757,,13,64,115,choppy,0
2023-12-07,000681,,12,74,115,choppy,0
2023-12-08,300738,,14,67,115,choppy,0
2023-12-11,000917,,14,60,115,choppy,0
2023-12-12,600797,,14,59,115,strong,0
2023-12-12,000620,,14,65,115,strong,0
2023-12-12,002526,,10,56,115,strong,0
2023-12-14,600195,,14,64,115,strong,0
2023-12-15,300113,,13,60,115,choppy,0
2023-12-18,603389,,13,61,115,choppy,0
2023-12-19,002306,,14,61,115,choppy,0
2023-12-19,300738,,13,65,115,choppy,0
2023-12-21,301236,,13,67,115,choppy,0
2023-12-27,603668,,14,63,115,choppy,0
2023-12-29,601208,,14,79,115,strong,0
2023-12-29,688496,,14,90,115,strong,0
2023-12-29,300410,,14,79,115,strong,0
2023-12-29,688597,,14,79,115,strong,0
2023-12-29,000050,,14,75,115,strong,0
2024-01-02,002106,,14,77,115,strong,0
2024-01-02,000698,,14,80,115,strong,0
2024-01-02,300241,,12,75,115,strong,0
2024-01-04,600795,,13,58,115,strong,0
2024-01-04,600800,,14,65,115,strong,0
2024-01-09,600082,,14,63,115,strong,0
2024-01-10,003042,,14,93,115,strong,0
2024-01-11,600522,,14,58,115,strong,0
2024-01-15,603255,,13,79,115,choppy,0
2024-01-16,600487,,14,64,115,choppy,0
2024-01-17,603558,,13,62,115,choppy,0
2024-01-25,601598,,14,66,115,choppy,0
2024-01-25,600028,,14,75,115,choppy,0
2024-01-26,601600,,14,78,115,choppy,0
2024-01-26,601808,,14,77,115,choppy,0
2024-01-26,600717,,14,79,115,choppy,0
2024-01-26,600428,,14,79,115,choppy,0
2024-01-26,600362,,14,63,115,choppy,0
2024-01-29,002608,,14,77,115,choppy,0
2024-01-29,600820,,14,68,115,choppy,0
2024-02-06,600285,,14,73,115,choppy,0
2024-02-06,002463,,14,80,115,choppy,0
2024-02-06,688041,,14,79,115,choppy,0
2024-02-06,000921,,13,69,115,choppy,0
2024-02-07,002831,,14,75,115,choppy,0
2024-02-07,600511,,14,92,115,choppy,0
2024-02-07,600362,,14,65,115,choppy,0
2024-02-19,000100,,14,60,115,choppy,0
2024-02-19,000923,,14,80,115,choppy,0
2024-02-29,600482,,10,75,115,strong,0
2024-03-19,300570,,10,86,115,strong,0
2024-03-29,601388,,13,58,115,strong,0
2024-04-01,002768,,14,64,115,strong,0
2024-04-02,600711,,10,61,115,strong,0
2024-04-02,600301,,14,60,115,strong,0
2024-04-02,600459,,14,66,115,strong,0
2024-04-02,600352,,14,69,115,strong,0
2024-04-02,002340,,14,69,115,strong,0
2024-04-02,000060,,14,61,115,strong,0
2024-04-02,301133,,11,67,115,strong,0
2024-04-03,000878,,14,75,115,strong,0
2024-04-03,601168,,10,78,115,strong,0
2024-04-03,000657,,14,79,115,strong,0
2024-04-03,000630,,14,61,115,strong,0
2024-04-03,000960,,14,72,115,strong,0
2024-04-03,301366,,10,75,115,strong,0
2024-04-08,002428,,10,59,115,strong,0
2024-04-09,688388,,13,77,115,strong,0
2024-04-12,688187,,11,62,115,strong,0
2024-04-15,600028,,10,60,115,strong,0
2024-04-16,600487,,14,63,115,choppy,0
2024-04-18,301219,,14,94,115,strong,0
2024-04-18,000913,,14,62,115,strong,0
2024-04-19,600871,,14,58,115,choppy,0
2024-04-19,600279,,14,58,115,choppy,0
2024-04-19,601686,,14,54,115,choppy,0
2024-04-22,300527,,14,77,115,choppy,0
2024-04-22,600764,,14,77,115,choppy,0
2024-04-22,603588,,14,62,115,choppy,0
2024-04-22,600301,,11,90,115,choppy,0
2024-04-25,002136,,11,63,115,choppy,0
2024-04-25,688146,,14,69,115,choppy,0
2024-04-26,000711,,14,66,115,choppy,0
2024-04-26,300547,,14,61,115,choppy,0
2024-04-29,000629,,14,64,115,strong,0
2024-04-29,002838,,14,64,115,strong,0
2024-04-30,000523,,14,79,115,strong,0
2024-04-30,002386,,14,79,115,strong,0
2024-04-30,600711,,14,64,115,strong,0
2024-05-06,300214,,13,61,115,strong,0
2024-05-06,300586,,14,76,115,strong,0
2024-05-06,300848,,14,93,115,strong,0
2024-05-07,002237,,14,62,115,strong,0
2024-05-10,603565,,13,61,115,strong,0
2024-05-17,688033,,14,60,115,strong,0
2024-05-17,688526,,14,61,115,strong,0
2024-05-20,688601,,11,65,115,strong,0
2024-05-21,688668,,11,87,115,strong,0
2024-05-21,002157,,13,62,115,strong,0
2024-05-22,300848,,13,61,115,strong,0
2024-05-23,688515,,14,68,115,strong,0
2024-05-27,600895,,14,64,115,choppy,0
2024-05-27,600018,,13,58,115,choppy,0
2024-05-28,300853,,13,65,115,choppy,0
2024-05-28,601126,,11,69,115,choppy,0
2024-05-29,600961,,14,70,115,strong,0
2024-05-29,300305,,14,78,115,strong,0
2024-05-30,002938,,13,64,115,choppy,0
2024-05-30,605589,,14,77,115,choppy,0
2024-06-06,002273,,13,67,115,choppy,0
2024-06-06,300308,,14,75,115,choppy,0
2024-06-12,688141,,11,61,115,strong,0
2024-06-12,002635,,14,64,115,strong,0
2024-06-12,002273,,13,74,115,strong,0
2024-06-12,300806,,10,84,115,strong,0
2024-06-13,002384,,14,64,115,strong,0
2024-06-13,601138,,14,70,115,strong,0
2024-06-14,300115,,13,66,115,strong,0
2024-06-17,301338,,13,70,115,strong,0
2024-06-17,300968,,13,62,115,strong,0
2024-06-17,688079,,14,75,115,strong,0
2024-06-18,603633,,14,60,115,strong,0
2024-06-26,301338,,11,58,115,choppy,0
2024-06-28,300115,,13,69,115,choppy,0
2024-06-28,002273,,14,67,115,choppy,0
2024-07-09,300115,,14,69,115,strong,0
2024-07-09,000063,,14,85,115,strong,0
2024-07-11,688519,,14,77,115,strong,0
2024-07-11,688127,,14,80,115,strong,0
2024-07-11,002635,,13,81,115,strong,0
2024-07-15,301428,,13,68,115,choppy,0
2024-07-19,688347,,13,85,115,strong,0
2024-07-22,301428,,13,73,115,strong,0
2024-07-26,002888,,11,62,115,choppy,0
2024-07-29,300516,,13,76,115,choppy,0
2024-07-30,300826,,14,75,115,choppy,0
2024-07-31,601628,,12,68,115,strong,0
2024-07-31,300482,,10,57,115,strong,0
2024-08-01,688288,,13,78,115,strong,0
2024-08-06,600129,,14,68,115,strong,0
2024-08-07,002001,,13,60,115,strong,0
2024-08-15,300113,,13,76,115,choppy,0
2024-08-16,300726,,13,63,115,choppy,0
2024-08-19,601318,,10,68,115,strong,0
2024-08-20,601601,,14,79,115,choppy,0
2024-08-26,300709,,13,93,115,choppy,0
2024-08-26,600062,,14,73,115,choppy,0
2024-08-27,600062,,14,75,115,choppy,0
2024-08-29,300709,,13,92,115,choppy,0
2024-08-30,300709,,13,93,115,strong,0
2024-09-02,300709,,13,93,115,strong,0
2024-09-03,300709,,13,93,115,strong,0
2024-09-04,300709,,13,93,115,strong,0
2024-09-05,300709,,13,93,115,strong,0
2024-09-06,300709,,13,93,115,strong,0
2024-09-09,300709,,13,93,115,strong,0
2024-09-10,300709,,13,92,115,strong,0
2024-09-11,300709,,13,91,115,strong,0
2024-11-26,300709,,13,87,115,choppy,0
2024-11-26,002723,,15,65,115,choppy,0
2024-11-27,002831,,14,58,115,choppy,0
2024-11-27,002723,,15,68,115,choppy,0
2024-11-29,300709,,13,89,115,choppy,0
2024-11-29,002723,,15,68,115,choppy,0
2024-12-03,002831,,14,58,115,choppy,0
2024-12-03,002723,,15,68,115,choppy,0
2024-12-04,002831,,14,59,115,choppy,0
2024-12-04,002723,,15,65,115,choppy,0
2024-12-06,002723,,15,68,115,choppy,0
2024-12-09,002723,,15,66,115,choppy,0
2024-12-13,002723,,15,69,115,choppy,0
2024-12-16,002723,,15,70,115,choppy,0
2024-12-17,002723,,15,70,115,choppy,0
2024-12-18,002723,,15,69,115,choppy,0
2024-12-19,002723,,15,69,115,choppy,0
2024-12-20,002723,,15,66,115,choppy,0
2024-12-30,300709,,13,89,115,choppy,0
2024-12-31,300709,,13,87,115,choppy,0
2025-01-06,600062,,14,75,115,choppy,0
2025-01-15,300709,,13,87,115,choppy,0
2025-01-16,300709,,13,87,115,choppy,0
2025-01-16,002723,,15,65,115,choppy,0
2025-01-17,300709,,13,92,115,choppy,0
2025-01-17,002723,,15,65,115,choppy,0
2025-01-20,300709,,13,89,115,choppy,0
2025-01-20,002723,,15,67,115,choppy,0
2025-01-21,300709,,13,93,115,choppy,0
2025-01-21,002723,,15,64,115,choppy,0
2025-01-22,300709,,13,92,115,choppy,0
2025-01-23,300709,,13,93,115,choppy,0
2025-01-23,002723,,15,63,115,choppy,0
2025-01-24,300709,,13,93,115,choppy,0
2025-01-27,300709,,13,93,115,choppy,0
2025-02-05,300709,,13,92,115,choppy,0
2025-02-06,300709,,13,93,115,choppy,0
2025-02-07,300709,,13,89,115,choppy,0
2025-03-04,300709,,13,89,115,choppy,0
2025-03-05,300709,,13,93,115,choppy,0
2025-03-06,300709,,13,91,115,choppy,0
2025-03-07,300709,,13,94,115,choppy,0
2025-03-10,300709,,13,94,115,choppy,0
2025-03-11,300709,,13,93,115,choppy,0
2025-03-12,300709,,13,93,115,choppy,0
2025-03-18,300709,,13,93,115,choppy,0
2025-03-19,300709,,13,93,115,choppy,0
2025-03-20,300709,,13,93,115,choppy,0
2025-04-28,600887,,14,74,115,strong,0
2025-04-28,002114,,14,86,115,strong,0
2025-04-28,600866,,13,78,115,strong,0
2025-04-28,600704,,13,70,115,strong,0
2025-04-28,603359,,13,94,115,strong,0
2025-04-28,000713,,14,87,115,strong,0
2025-04-28,603813,,14,79,115,strong,0
2025-04-28,002419,,14,79,115,strong,0
2025-04-28,688526,,13,81,115,strong,0
2025-04-28,600180,,14,84,115,strong,0
2025-04-28,001219,,14,94,115,strong,0
2025-04-28,603565,,14,75,115,strong,0
2025-04-28,600195,,14,62,115,strong,0
2025-04-28,002719,,13,73,115,strong,0
2025-04-28,600017,,13,65,115,strong,0
2025-04-28,600226,,14,75,115,strong,0
2025-04-28,000716,,14,90,115,strong,0
2025-04-28,603967,,14,79,115,strong,0
2025-04-28,300197,,14,70,115,strong,0
2025-04-28,601880,,13,82,115,strong,0
2025-04-28,000972,,14,69,115,strong,0
2025-04-28,002314,,14,84,115,strong,0
2025-04-28,601083,,14,79,115,strong,0
2025-04-28,301591,,13,65,115,strong,0
2025-04-28,603086,,10,91,115,strong,0
2025-04-28,300119,,14,77,115,strong,0
2025-04-28,600265,,13,75,115,strong,0
2025-04-28,301058,,14,89,115,strong,0
2025-04-28,000599,,14,83,115,strong,0
2025-04-28,600222,,14,67,115,strong,0
2025-04-28,601609,,14,77,115,strong,0
2025-04-28,603566,,13,56,115,strong,0
2025-04-28,603319,,14,77,115,strong,0
2025-04-28,301029,,13,80,115,strong,0
2025-04-28,002768,,14,81,115,strong,0
2025-04-28,600267,,14,73,115,strong,0
2025-04-28,002041,,14,87,115,strong,0
2025-04-28,002183,,14,91,115,strong,0
2025-04-29,601952,,14,66,115,strong,0
2025-04-29,600265,,13,74,115,strong,0
2025-04-29,600084,,14,68,115,strong,0
2025-04-30,600597,,14,76,115,strong,0
2025-05-06,603718,,14,61,115,strong,0
2025-05-27,002717,,12,60,115,choppy,0
2025-05-30,600062,,13,64,115,choppy,0
2025-06-04,601298,,13,75,115,choppy,0
2025-06-04,600222,,14,67,115,choppy,0
2025-06-05,002415,,14,66,115,choppy,0
2025-06-06,300419,,13,62,115,strong,0
2025-06-06,000599,,13,68,115,strong,0
2025-06-06,300218,,14,65,115,strong,0
2025-06-09,688602,,14,64,115,strong,0
2025-06-09,000756,,12,61,115,strong,0
2025-06-10,688690,,11,63,115,strong,0
2025-06-10,301201,,13,60,115,strong,0
2025-06-10,000908,,14,64,115,strong,0
2025-06-11,603139,,13,92,115,strong,0
2025-06-11,300006,,14,61,115,strong,0
2025-06-12,600682,,10,60,115,strong,0
2025-06-16,688201,,14,59,115,strong,0
2025-06-17,300084,,13,88,115,strong,0
2025-06-20,003019,,13,64,115,choppy,0
2025-06-23,002189,,14,59,115,choppy,0
2025-06-24,300438,,14,62,115,strong,0
2025-06-24,688733,,13,67,115,strong,0
2025-06-25,600271,,13,67,115,strong,0
2025-06-25,002138,,14,78,115,strong,0
2025-06-25,301428,,10,75,115,strong,0
2025-06-25,002439,,14,68,115,strong,0
2025-06-25,301380,,10,59,115,strong,0
2025-06-26,002634,,14,59,115,strong,0
2025-06-26,600178,,10,75,115,strong,0
2025-06-26,300608,,13,69,115,strong,0
2025-06-26,002212,,14,68,115,strong,0
